,dt_name,type,parameter,p_avg,p_min,p_max,d_avg,d_min,d_max
0,Dataset 1,hungry_blue,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Dataset 1,hungry_blue,0.1,0.07146528230879548,0.1872431300278867,0.039180955805198016,0.035243657717370425,0.040537731813993456,0.023326318796436016
2,Dataset 1,hungry_blue,0.2,0.1320959226923432,0.25188369083110945,0.07985321405769324,0.06465736709663512,0.08092833804614687,0.031147760335524934
3,Dataset 1,hungry_blue,0.3,0.18278308807322244,0.2785332932475664,0.12260424133067903,0.08743581047081646,0.11718478937729417,0.034197149487441104
4,Dataset 1,hungry_blue,0.4,0.22211388749951594,0.29385513177277134,0.16641641182685854,0.10416547364389696,0.14314261764694114,0.0355092530640014
5,Dataset 1,hungry_blue,0.5,0.25461451188795176,0.315116028183237,0.21173770037184847,0.11621577804337761,0.17211828643774169,0.035959717340747835
6,Dataset 1,hungry_blue,0.6,0.28359809466811153,0.3487878320383659,0.23020064667974954,0.12407558354601896,0.19449138090642634,0.03609586838294767
7,Dataset 1,hungry_blue,0.7,0.30324209384742423,0.3615850428195189,0.23502581272618764,0.12829521178505096,0.2083826157895258,0.03611871367670855
8,Dataset 1,hungry_blue,0.8,0.31737971216378147,0.3662762730047235,0.2376662908994994,0.13018449328515952,0.2146374336464942,0.036123701296604076
9,Dataset 1,hungry_blue,0.9,0.32393713988811257,0.3747387596533618,0.23815594238670984,0.1306252100815251,0.21544387973664114,0.03612462889832682
10,Dataset 1,hungry_blue,1,0.32429445345005475,0.3747928982009267,0.23815594238670984,0.13064270033110653,0.21544387973664114,0.036124661282779795
11,Dataset 1,dimming,0,0.9999447478917112,0.9999878080334383,0.9998042877916475,0.16344971718964088,0.20893312593751728,0.04522942046278819
12,Dataset 1,dimming,0.1,0.8322667793900399,0.8323026188957235,0.8321498726555836,0.15144318840316548,0.19259594271210573,0.0423151689782235
13,Dataset 1,dimming,0.2,0.71291641715539,0.7129471171335909,0.7128162753110514,0.1326411491441075,0.16692816967614957,0.038941383568216845
14,Dataset 1,dimming,0.3,0.6068624043030838,0.6068885373281266,0.6067771596391032,0.11386674037610826,0.14300857960895752,0.03477623683387772
15,Dataset 1,dimming,0.4,0.5086144712820097,0.5086363735033715,0.5085430272950486,0.09588370886198228,0.12041610758347301,0.0300541201017617
16,Dataset 1,dimming,0.5,0.4157908996974472,0.41580880470180626,0.4157324944390564,0.07866629382659181,0.09879148769219499,0.025075599341793944
17,Dataset 1,dimming,0.6,0.3270729930013826,0.32708707758901967,0.32702704975759644,0.062081732401455356,0.07795435592798743,0.020025569129733026
18,Dataset 1,dimming,0.7,0.2416299452641074,0.24164035045870494,0.24159600402249207,0.045994211859984424,0.057749314748253996,0.014966569996128934
19,Dataset 1,dimming,0.8,0.1588938310916787,0.15890067346062026,0.15887151161506574,0.030321001522105824,0.03806786750443458,0.009931201362870687
20,Dataset 1,dimming,0.9,0.07845380771737487,0.07845718613611877,0.0784427874788012,0.01500412806875109,0.018836622898355478,0.0049400004427202476
21,Dataset 1,dimming,1,0.0,0.0,0.0,0.0,0.0,0.0
22,Dataset 1,hist_equalization,1,0.031161343864403463,0.2771882480964035,-1.3283318307788148,0.05183599711927093,0.088473403303727,0.02399282326120351
23,Dataset 1,dimm_saturation,1,0.0,0.0,0.0,2.2569016085112297e-17,6.010683570848083e-17,4.679564014810581e-18
24,Dataset 1,dimm_saturation,1.1,0.02112962561432965,0.0555910491177851,0.003886658550340873,0.00624546449121424,0.013801277713181966,0.0018637382149360943
25,Dataset 1,dimm_saturation,1.2,0.04193274149573184,0.1130841258038477,0.007774779729126202,0.01205437538130435,0.02643402596165957,0.003714542256172346
26,Dataset 1,dimm_saturation,1.3,0.06137958923542592,0.166822807495522,0.011656593306571908,0.01722041208114599,0.03621377429790623,0.005551336507563862
27,Dataset 1,dimm_saturation,1.4,0.07832424921797372,0.2095686010680224,0.015539693912867782,0.021688955609245646,0.04229809846610272,0.007374346662182925
28,Dataset 1,dimm_saturation,1.5,0.09262102274846902,0.22754240978889453,0.019436307889584285,0.025596392502454768,0.0451073043400924,0.00918392877178342
29,Dataset 1,dimm_saturation,1.6,0.10532237096090147,0.2357972669331369,0.023348028776207126,0.029126140330882504,0.04675445799938726,0.01097924559149427
30,Dataset 1,dimm_saturation,1.7,0.1169053999393173,0.24156489687226523,0.027275253833692736,0.0323617906667786,0.047998408102879885,0.012759464366352936
31,Dataset 1,dimm_saturation,1.8,0.12743976478844504,0.24617942746700433,0.031222254958829167,0.03534425343571453,0.05020168229658542,0.014263443181038773
32,Dataset 1,dimm_saturation,1.9,0.1370009451482043,0.25000730186244635,0.035189017662771195,0.03810410878150095,0.05526283466318456,0.015115604128309488
33,Dataset 1,dimm_saturation,2,0.14578459233339866,0.25838116349961476,0.03917920227032193,0.040669883717306225,0.06068209310256102,0.01586377046731543
34,Dataset 1,dvs,10,0.34760631378007956,0.49863081350383687,0.054832142535746885,0.07449421383291153,0.11270688144926927,0.003103380890016195
35,Dataset 1,dvs,11,0.20916895527156587,0.3414512071603788,0.015203559965448402,0.04884554646434624,0.08181577698107446,0.0008442505508357731
36,Dataset 1,dvs,12,0.10289303682729987,0.19550685879627405,0.002260178916546628,0.02703994600482888,0.05188835126955233,0.00015220096837238392
37,Dataset 1,dvs,13,0.03092985374822007,0.06498789585775154,0.0003833794817137935,0.009519142136153236,0.01890802885900842,2.6971668245530667e-05
38,Dataset 1,dvs,15,0.0,0.0,0.0,0.0,0.0,0.0
